wavelength,bandwidth
395.8612,8.76
404.4524,8.76
413.0436,8.76
421.6348,8.76
430.226,8.76
438.583801,8.76
447.098741,8.76
455.786167,8.76
464.365594,8.76
473.208972,8.76
481.829453,8.76
490.449933,8.76
499.070413,8.76
507.690893,8.76
516.311373,8.76
524.931853,8.76
533.552334,8.76
542.024472,8.76
550.581904,8.76
559.234311,8.76
567.886719,8.76
576.477238,8.76
585.067758,8.76
593.658277,8.76
602.248797,8.76
610.839317,8.76
619.429836,8.76
628.020356,8.76
636.610876,8.76
645.209401,8.76
653.787764,8.76
662.286899,8.76
670.786035,8.76
679.387819,8.76
687.989604,8.76
696.591389,8.76
705.193173,8.76
713.794958,8.76
722.396743,8.76
730.998527,8.76
739.578525,8.76
748.158522,8.76
756.73852,8.76
765.440069,8.76
774.001122,8.76
782.562176,8.76
791.12323,8.76
799.684284,8.76
808.245338,8.76
816.806392,8.76
825.367446,8.76
833.873589,8.76
842.475202,8.76
851.076816,8.76
859.67843,8.76
868.280043,8.76
876.881657,8.76
885.483271,8.76
894.084884,8.76
902.686498,8.76
911.288112,8.76
919.889726,8.76
928.491339,8.76
937.092953,8.76
945.711952,8.76
954.243026,8.76
962.774099,8.76
971.305173,8.76
979.836246,8.76
988.367319,8.76
996.898393,8.76
1005.8364,8.76
1014.4276,8.76
1023.0188,8.76
1031.61,8.76
1040.2012,8.76
